id,time,group,OTU.1,OTU.2,OTU.3,OTU.4,OTU.5,OTU.6,OTU.7,OTU.8,OTU.9,OTU.10,OTU.11,OTU.12,OTU.13,OTU.14,OTU.15,OTU.16,OTU.17,OTU.18,OTU.19,OTU.20,OTU.21,OTU.22,OTU.23,OTU.24,OTU.25,OTU.26,OTU.27,OTU.28,OTU.29,OTU.30,OTU.31,OTU.32,OTU.33,OTU.34
s01,1,Case,0.002072281,0.103862732,0.000746021,0.001657825,0.008372016,0.011107427,0.414041777,0.000580239,0.002155172,0.200265252,0.004061671,0,0.021220159,0.000414456,0.020805703,0.02262931,0.030503979,0.001574934,0.000580239,0,0,0,0.000828913,0,0.023209549,0.003730106,0.009532493,0.020888594,0.070125995,0.005636605,0.018650531,0,0,0.000746021
s01,2,Case,0.002294631,0.071821937,0.000573658,0.003556677,0.010211106,0.015603488,0.660853603,0.000229463,0.003097751,0.064134924,0.00378614,0,0.027191372,0.000458926,0.009866911,0.015947682,0.024667279,0.001147315,0.001376778,0,0,0,0.001032584,0.000344195,0.007572281,0.018242313,0.014570904,0.026158788,0.009293254,0.003671409,0,0.000114732,0.000229463,0.001950436
s01,3,Case,0.000591541,0.004880213,0,0.000295771,0.000739426,0.003549246,0.561076605,0.002957705,0.000147885,0.005619639,0.018041999,0,0.001774623,0,0.060189293,0.005323869,0.060041408,0.000295771,0.000147885,0,0,0.001478852,0,0,0.250073943,0.013309672,0.001922508,0,0.001330967,0.000887311,0.000591541,0,0.000887311,0.003845016
s01,4,Case,0.000726876,0.006178448,0.000545157,0.000545157,0.000181719,0.004724696,0.54079593,0.001453753,0,0.23060149,0.002725786,0,0.006905324,0,0.092131565,0.000363438,0.055424314,0.000181719,0,0,0.004179538,0,0,0,0.009449391,0.003634381,0.007995639,0,0.003452662,0.001272033,0.024168635,0,0,0.002362348
s01,5,Case,0.000955359,0.026923745,0.000173702,0.001389613,0.003734584,0.005297898,0.449887094,0.000260552,8.69E-05,0.285131145,0.002258121,0,0.002518673,0,0.049852354,0.01103005,0.010248393,0.000694806,8.69E-05,0,0.068351572,0,0.000607956,0,0.008077124,0.009553587,0.003213479,0.001910717,0.004863644,0.001910717,0.048896995,0,0,0.002084419
s01,6,Case,0.001601538,0.015908606,0.000640615,0.001067692,0,0.013452915,0.41821482,0.00128123,0.000213538,0.102605168,0.001815076,0,0.004484305,0,0.067478112,0.005872304,0.28646167,0.000960923,0.000960923,0,0.003950459,0,0.000427077,0.000106769,0.002135383,0.016335682,0.004911382,0.010570147,0.00384369,0.001387999,0.023168909,0.000427077,0.002669229,0.007046765
s01,7,Case,0.001471887,0.03841625,0.000441566,0.002355019,0.002796585,0.009861643,0.711215779,0.002649397,0,0.045775684,0.000735944,0,0.010008831,0,0.054754195,0.001471887,0.058581101,0.001324698,0.000883132,0,0.000147189,0,0.000147189,0,0,0.013394171,0.009420077,0.015454813,0.006623491,0.00117751,0.00677068,0,0.002060642,0.002060642
s01,8,Case,0.00111576,0.052998605,0.0004649,0.0004649,0.00344026,0.013296141,0.520130172,0.00204556,0.00111576,0.134077173,0.00055788,0,0.009298001,0,0.024360762,0.022501162,0.130450953,0.00213854,0.00065086,0,0,0.00018596,0.00083682,0.0004649,0,0.013017201,0.018503022,0.006787541,0.022501162,0.005113901,0.004741981,0.00037192,0.00037192,0.007996281
s01,9,Case,0.002162162,0.047351351,0.000432432,0.000648649,0.002162162,0.007567568,0.456216216,0.001513514,0.000432432,0.042594595,0.012540541,0,0.005621622,0,0.109837838,0.002594595,0.126486487,0.000432432,0,0,0.031135135,0,0.001513514,0,0.061621622,0.002162162,0.006702703,0.00345946,0.002810811,0.001081081,0.066378378,0,0.000864865,0.003675676
s01,10,Case,0.000596303,0.004770423,0,0,0.002782747,0.015106341,0.743192208,0.002186444,0,0.105943153,0,0,0.009540847,0,0.027429934,0.004969191,0.008547009,0.000795071,0.000596303,0,0,0,0,0,0,0.032597893,0.012522361,0.01013715,0,0.000596303,0.002782747,0,0.01431127,0.000596303
